	1468042762		$RATTM,01,1.42,190.50,T,0.0,166.0,T,1.16,-8738.13,N,,T,,053916.00,M*14
	1468042764		$RATTM,01,1.42,190.44,T,0.0,177.7,T,1.16,-8738.13,N,,T,,053918.00,M*18
	1468042766		$RATTM,01,1.42,190.41,T,0.0,187.3,T,1.16,-8738.13,N,,T,,053920.00,M*1D
	1468042768		$RATTM,01,1.42,190.50,T,0.0,193.1,T,1.16,-8738.13,N,,T,,053922.00,M*18
	1468042770		$RATTM,01,1.42,190.52,T,0.0,200.4,T,1.16,-8738.13,N,,T,,053924.00,M*10
	1468042772		$RATTM,01,1.42,190.52,T,0.0,200.4,T,1.16,-8738.13,N,,T,,053926.00,M*12
	1468042774		$RATTM,01,1.42,190.63,T,0.0,207.6,T,1.17,-8738.13,N,,T,,053929.00,M*1B
	1468042776		$RATTM,01,1.42,190.53,T,0.0,213.2,T,1.17,-8738.13,N,,T,,053931.00,M*10
	1468042778		$RATTM,01,1.42,190.46,T,0.0,213.3,T,1.36,-8738.13,N,,T,,053933.00,M*14
	1468042780		$RATTM,01,1.42,190.61,T,0.0,217.2,T,1.36,-8738.13,N,,T,,053935.00,M*12
	1468042782		$RATTM,01,1.42,190.66,T,0.0,220.6,T,1.36,-8738.13,N,,T,,053937.00,M*17
	1468042784		$RATTM,01,1.42,190.66,T,0.0,220.6,T,1.36,-8738.13,N,,T,,053939.00,M*19
	1468042786		$RATTM,01,1.42,190.53,T,0.0,221.9,T,1.17,-8738.13,N,,T,,053941.00,M*1D
	1468042788		$RATTM,01,1.42,190.52,T,0.0,223.6,T,1.17,-8738.13,N,,T,,053943.00,M*13
	1468042790		$RATTM,01,1.42,190.50,T,0.0,223.3,T,1.17,-8738.13,N,,T,,053945.00,M*12
	1468042792		$RATTM,01,1.42,190.56,T,0.1,224.4,T,0.78,-585.24,N,,T,,053947.00,M*27
	1468042794		$RATTM,01,1.42,190.56,T,0.1,224.4,T,0.78,-585.24,N,,T,,053949.00,M*29
	1468042796		$RATTM,01,1.42,190.57,T,0.1,227.6,T,0.84,-514.23,N,,T,,053951.00	1468042797		,M*2C
	1468042799		$RATTM,01,1.42,190.59,T,0.1,229.1,T,0.87,-472.12,N,,T,,053953.00,M*29
	1468042801		$RATTM,01,1.42,190.54,T,0.1,229.6,T,0.88,-450.87,N,,T,,053955.00,M*26
	1468042803		$RATTM,01,1.42,190.68,T,0.2,232.2,T,0.93,-397.03,N,,T,,053957.00,M*2C
	1468042805		$RATTM,01,1.42,190.68,T,0.2,232.2,T,0.93,-397.03,N,,T,,053959.00,M*22
	1468042807		$RATTM,01,1.42,190.57,T,0.2,231.9,T,0.93,-383.83,N,,T,,054001.00,M*28
	1468042809		$RATTM,01,1.42,190.61,T,0.2,233.2,T,0.95,-349.82,N,,T,,054003.00,M*27
